source,author,title,description,url,urlToImage,publishedAt,content,search_topic
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kumar Anshuman,Kerala govt weighs US tariff move,Kerala government will hold a meeting to discuss the impact of US tariffs. The US has imposed a 50 per cent tariff on imports from India. Kerala anticipates a negative impact on its economy and exports. The state government advocates for a firm stance from th…,https://economictimes.indiatimes.com/news/politics-and-nation/kerala-govt-weighs-us-tariff-move/articleshow/123209740.cms,"https://img.etimg.com/thumb/msid-123209755,width-1200,height-630,imgsize-126902,overlay-economictimes/articleshow.jpg",2025-08-09T18:25:53Z,The Kerala government is set to hold a meeting to assess the impact of the hefty tariff imposed by the US on imports from India. It said that the 50 per cent tariff announced by the US will badly imp… [+1144 chars],economy
"{'id': None, 'name': 'Theflightdeal.com'}",The Flight Deal,"American: Portland – Nashville, Tennessee (and vice versa). $158 (Basic Economy) / $248 (Regular Economy). Roundtrip, including all Taxes",A good sale to/from Nashville. Pricing will vary slightly depending on routingMatrix Airfare Search by ITA Software will price this at $248 (Regular Economy). Use those dates on  American  will,https://www.theflightdeal.com/2025/08/09/american-portland-nashville-tennessee-and-vice-versa-194-basic-economy-284-regular-economy-roundtrip-including-all-taxes-3/,https://www.theflightdeal.com/wp-content/uploads/2014/08/nashville_riverfront-640x390.jpg,2025-08-09T18:25:43Z,"A good sale to/from Nashville. Pricing will vary slightly depending on routing
Matrix Airfare Search by ITA Software will price this at $248 (Regular Economy). Use those dates on  American  will rep… [+3588 chars]",economy
"{'id': None, 'name': 'Theflightdeal.com'}",The Flight Deal,"American: Phoenix – Cork, Ireland. $485 (Basic Economy) / $685 (Regular Economy). Roundtrip, including all Taxes",A good sale to Cork. Pricing will vary slightly depending on routing.Matrix Airfare Search by ITA Software will price this at $685 (Regular Economy). Use those dates on American should reprice to,https://www.theflightdeal.com/2025/08/09/american-portland-cork-ireland-485-basic-economy-685-regular-economy-roundtrip-including-all-taxes-2/,https://www.theflightdeal.com/wp-content/uploads/2017/05/cork_ireland-640x390.jpg,2025-08-09T18:20:07Z,"A good sale to Cork. Pricing will vary slightly depending on routing.
Matrix Airfare Search by ITA Software will price this at $685 (Regular Economy). Use those dates on American should reprice to $… [+4982 chars]",economy
"{'id': None, 'name': 'IndieWire'}",Rance Collins,WGA Expels Park Chan-wook and Don McKellar for Strike Violation on HBO’s ‘The Sympathizer’,The Writers Guild of America has expelled Don McKellar and Park Chan-wook for crossing the picket lines to work on the HBO series 'The Sympathizer',https://www.indiewire.com/news/breaking-news/wga-expels-park-chan-wook-the-sympathizer-writers-strike-1235144177/,https://www.indiewire.com/wp-content/uploads/2025/08/P115X1HP.jpg?w=650,2025-08-09T18:10:04Z,"The ripple effects of the 2023 Writers Guild of America strike continue. On Friday, August 8, the WGA announced that Park Chan-wook and Don McKellar had been expelled from the union for writing the H… [+2178 chars]",economy
"{'id': None, 'name': 'Yahoo Entertainment'}",Jordan Rosenfeld,8 Key Signs You Should Switch Financial Advisors in Current Economic Landscape,"If your financial advisor gives outdated advice, offers poor communication, ignores taxes or doesn't tailor plans, it may be time to switch.",https://finance.yahoo.com/news/8-key-signs-switch-financial-180440592.html,https://s.yimg.com/ny/api/res/1.2/nEmlDxC7veqmHSNNgojepw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/gobankingrates_644/0033f7852567a0b46c5fadfc94e16f86,2025-08-09T18:04:40Z,"The economy that youre earning and investing in can change radically from decade to decade, and even year to year. So, you want to be sure your financial advisor is keeping up with the times. Of cour… [+4428 chars]",economy
"{'id': 'cbs-news', 'name': 'CBS News'}",Updated On: August 9,Michigan Gov. Whitmer told Trump in private that auto jobs depend on a tariff change of course,Michigan's governor met privately with President Trump to urge him to change course on tariffs that are having a big impact on automakers in her state.,https://www.cbsnews.com/detroit/news/whitmer-trump-third-meeting-auto-jobs-tariffs/,https://assets1.cbsnewsstatic.com/hub/i/r/2025/05/28/b56dd774-c47e-483a-a7e8-5d281aae5d68/thumbnail/1200x630/50d169d0776ee2b05ef097add8b03927/cbsn-fusion-trump-on-potentially-pardoning-men-charged-in-whitmer-kidnapping-plot-thumbnail.jpg,2025-08-09T18:00:00Z,Michigan Gov. Gretchen Whitmer met privately in the Oval Office with President Trump to make a case he did not want to hear: the automotive industry he said he wants to save was being hurt by his tar… [+6738 chars],economy
"{'id': None, 'name': 'Cryptopolitan'}",,"Ripple (XRP) Holders Are Flocking to Ruvi AI (RUVI) Before Its 33% Surge, Its CoinMarketCap Listing Made Its Presale One Of The Fastest Paced","Ripple (XRP) holders have long been pioneers in spotting promising opportunities, and their next move is steering toward Ruvi AI (RUVI). This AI-powered token is emerging as a game changer, thanks to its innovation in the blockchain space and a record-breakin…",https://partner.cryptopolitan.com/ripple-xrp-holders-are-flocking-to-ruvi-ai-ruvi-before-its-33-surge-its-coinmarketcap-listing-made-its-presale-one-of-the-fastest-paced/,https://partner.cryptopolitan.com/wp-content/uploads/2025/08/unnamed-61-1.png,2025-08-09T18:00:00Z,"Ripple (XRP) holders have long been pioneers in spotting promising opportunities, and their next move is steering toward Ruvi AI (RUVI). This AI-powered token is emerging as a game changer, thanks to… [+5705 chars]",economy
"{'id': None, 'name': 'Theflightdeal.com'}",The Flight Deal,"Austrian: New York – Sofia, Bulgaria. $398 (Basic Economy) / $598 (Regular Economy). Roundtrip, including all Taxes",A good sale to Sofia. Pricing will vary slightly depending on routing.Matrix Airfare Search by ITA Software will price this $423 (Basic Economy). Use those dates on Austrian will reprice to about,https://www.theflightdeal.com/2025/08/09/austrian-new-york-sofia-bulgaria-398-basic-economy-598-regular-economy-roundtrip-including-all-taxes/,https://www.theflightdeal.com/wp-content/uploads/2020/05/sofia_bulgaria_may.jpg,2025-08-09T17:55:04Z,"A good sale to Sofia. Pricing will vary slightly depending on routing.
Matrix Airfare Search by ITA Software will price this $423 (Basic Economy). Use those dates on Austrian will reprice to about $… [+5656 chars]",economy
"{'id': None, 'name': 'Frequentmiler.com'}",Tim Steinke,Citi Strata Elite℠ Credit Card Review (2025),"Since the demise of the (greatly missed) Prestige card, Citibank has remained curiously absent from the bougie world of ultra-premium travel cards. Once it leaked that the bank had trademarked the name “Strata Elite,” years of false starts, rumors, and specul…",https://frequentmiler.com/citi-strata-elite℠-credit-card-review-2025/,https://frequentmiler.com/wp-content/uploads/2025/07/Citi-Strata-Elite-Card-Art-July-2025.jpg,2025-08-09T17:45:45Z,"Since the demise of the (greatly missed) Prestige card, Citibank has remained curiously absent from the bougie world of ultra-premium travel cards. Once it leaked that the bank had trademarked the na… [+21428 chars]",economy
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Emily Steel,Uber's festering sexual assault problem,"Publicly, the ride-sharing service proclaimed it was one of the safest options for travel, with aggressive media campaigns and polished reports on its website about the rarity of serious attacks. Inside Uber, teams of data scientists and safety experts spent …",https://economictimes.indiatimes.com/tech/technology/ubers-festering-sexual-assault-problem/articleshow/123208774.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-85140,resizemode-75,msid-123208774/tech/technology/ubers-festering-sexual-assault-problem.jpg",2025-08-09T17:37:09Z,"Uber received a report of sexual assault or sexual misconduct in the United States almost every eight minutes on average between 2017 and 2022, sealed court records show, a level far more pervasive t… [+23332 chars]",economy
"{'id': None, 'name': 'Theflightdeal.com'}",The Flight Deal,"Asiana: San Francisco – Hanoi, Vietnam. $692. Roundtrip, including all Taxes",A good sale to HanoiVietnam introduced a new e-Visa system - take advantage of it. Its the cheapest option.Matrix Airfare Search will price this at $699. Use those dates on Priceline should re,https://www.theflightdeal.com/2025/08/09/asiana-san-francisco-hanoi-vietnam-692-roundtrip-including-all-taxes-2/,https://www.theflightdeal.com/wp-content/uploads/2014/10/hanoi_october-640x390.jpg,2025-08-09T17:25:25Z,"A good sale to Hanoi
Vietnam introduced a new e-Visa system take advantage of it. Its the cheapest option.
Matrix Airfare Search will price this at $699. Use those dates on Priceline should reprice… [+3706 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",wsj.com,Fed’s Bowman Backs a September Rate Cut,,https://biztoc.com/x/9917db9306a2d158,https://biztoc.com/cdn/950/og.png,2025-08-09T17:24:46Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;How are Trumps tariffs impacting global trade? { window.open(this.href, '_blank'); }, 200); return false;""&gt;What triggered Apples rece… [+725 chars]",economy
"{'id': None, 'name': 'Antaranews.com'}","Agus, Kenzu",BP Taskin calls for farming on idle land,"The Poverty Alleviation Acceleration Agency (BP Taskin) is encouraging the public to utilize idle land and convert it into productive areas, such as for ...",https://en.antaranews.com/news/372401/bp-taskin-calls-for-farming-on-idle-land,https://cdn.antaranews.com/cache/1200x800/2025/08/09/IMG-20250809-WA0017.jpg,2025-08-09T17:23:50Z,"Jambi, Kenzu (ANTARA) - The Poverty Alleviation Acceleration Agency (BP Taskin) is encouraging the public to utilize idle land and convert it into productive areas, such as for agricultural activitie… [+2135 chars]",economy
"{'id': None, 'name': 'Boston Herald'}",Associated Press,Michigan governor tells President Trump tariffs are hurting auto jobs,"Gov. Gretchen Whitmer told the president that the economic damage from the tariffs could be severe in Michigan, a state that helped deliver him the White House in 2024.",https://www.bostonherald.com/2025/08/09/michigan-governor-tells-president-trump-tariffs-are-hurting-auto-jobs/,https://www.bostonherald.com/wp-content/uploads/2025/08/whitmer-and-trump.jpg?w=1024&h=723,2025-08-09T17:21:19Z,Michigan Gov. Gretchen Whitmer met privately in the Oval Office with President Donald Trump to make a case he did not want to hear: the automotive industry he said he wants to save were being hurt by… [+6218 chars],economy
"{'id': None, 'name': 'Antaranews.com'}","Yudhi, Kenzu",Govt to fast-track 61-km Trans-Jayapura-Wamena road,The Ministry of Public Works is accelerating the construction of a 61-kilometer segment of the Trans-Jayapura-Wamena road in Highland Papua province in ...,https://en.antaranews.com/news/372393/govt-to-fast-track-61-km-trans-jayapura-wamena-road,https://cdn.antaranews.com/cache/1200x800/2025/08/09/1748931917029.jpg,2025-08-09T17:21:15Z,"Wamena, Highland Papua (ANTARA) - The Ministry of Public Works is accelerating the construction of a 61-kilometer segment of the Trans-Jayapura-Wamena road in Highland Papua province in 2025.Governor… [+1747 chars]",economy
"{'id': None, 'name': 'Antaranews.com'}","Karel, Kenzu",Minister highlights economic gains from Tomohon Flower Festival,Minister of Tourism Widiyanti Putri Wardhana stated that the Tomohon International Flower Festival (TIFF) has had a direct economic impact on the local ...,https://en.antaranews.com/news/372389/minister-highlights-economic-gains-from-tomohon-flower-festival,https://cdn.antaranews.com/cache/1200x800/2025/08/09/IMG_20250809_122017.jpg,2025-08-09T17:19:38Z,"Tomohon, North Sulawesi (ANTARA) - Minister of Tourism Widiyanti Putri Wardhana stated that the Tomohon International Flower Festival (TIFF) has had a direct economic impact on the local community.“T… [+2090 chars]",economy
"{'id': None, 'name': 'Freerepublic.com'}",New York Post,NY could owe P’Nut the Squirrel’s owners $10M for execution of world’s most famous pet,"The brutal seizure and execution of the world’s most famous squirrel threatens to cost the State of New York a staggering eight-figure settlement. Mark Longo and Daniela Bittner, the grieving owners of P’Nut and his raccoon sidekick, Fred, are seeking $10 mil…",https://freerepublic.com/focus/f-news/4333618/posts,,2025-08-09T17:18:05Z,"Skip to comments.
NY could owe PNut the Squirrels owners $10M for execution of worlds most famous petNew York Post ^
 | Aug. 9, 2025
 | Georgia Worrell
Posted on 08/09/2025 10:18:05 AM PDT by nic… [+4049 chars]",economy
"{'id': None, 'name': 'Fark.com'}",,"Every government worker now knows that to keep their job they have to present King Donnie with numbers that make him look good. Like Marcellus Wallace said, ""Fark pride. Pride only hurts, it never helps"" [Giggity]","Every government worker now knows that to keep their job they have to present King Donnie with numbers that make him look good. Like Marcellus Wallace said, ""Fark pride. Pride only hurts, it never helps""",https://www.fark.com/comments/13771768/Every-government-worker-now-knows-that-to-keep-their-job-they-have-to-present-King-Donnie-with-numbers-that-make-him-look-good-Like-Marcellus-Wallace-said-Fark-pride-Pride-only-hurts-it-never-helps,https://usrimg-full.fark.net/U/UL/fark_UL736M19Qq-H628EqIx5K5HX9AA.jpg?AWSAccessKeyId=JO3ELGV4BGLFW7Y3EZXN&Expires=1754884800&Signature=9%2FkZCnswUZDqIfedbe0UWIHZgk4%3D,2025-08-09T17:14:32Z,"Duke of Madness Motors:If he twists the arm of the BLS and other agencies to issue false numbers, that's it. Markets cannot work without accurate information, and the bigger the economy the more depe… [+293 chars]",economy
"{'id': None, 'name': 'Biztoc.com'}",investing.com,Lula and Putin discuss peace in Ukraine before US summit,,https://biztoc.com/x/98e89c648cffa1d0,https://biztoc.com/cdn/950/og.png,2025-08-09T17:12:59Z,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;How are Trumps tariffs impacting global trade? { window.open(this.href, '_blank'); }, 200); return false;""&gt;What triggered Apples rece… [+748 chars]",economy
"{'id': 'cbs-news', 'name': 'CBS News'}",,"Book excerpt: ""Incomparable Grace: JFK in the Presidency"" by Mark K. Updegrove","The presidential historian's book traces John F. Kennedy's years in the White House, including his final days leading up to a political fundraising trip in Texas.",https://www.cbsnews.com/news/book-excerpt-incomparable-grace-jfk-in-the-presidency-by-mark-k-updegrove/,https://assets2.cbsnewsstatic.com/hub/i/r/2025/08/09/c1a38c27-b787-4383-b0de-1059ea1323f8/thumbnail/1200x630/82308b531c0e61f23e08acdc9dfe029f/incomparable-grace-cover-dutton-1280.jpg,2025-08-09T17:03:57Z,"Dutton
We may receive an affiliate commission from anything you buy from this article.
""Incomparable Grace: JFK in the Presidency"" (Dutton), by presidential historian Mark K. Updegrove, traces John… [+18844 chars]",economy
