,accuracy,f1_macro,precision_macro,recall_macro,model_size_mb,total_parameters,inference_time_per_sample
roberta_1layer_ft_full,0.6416666666666667,0.6282851170112136,0.6771802778836492,0.6416666666666666,475.4941520690918,124647939,0.0016538314024607341
roberta_1layer_feat_extr,0.2966666666666667,0.24716009411277282,0.2742903395370772,0.2966666666666667,475.4941520690918,124647939,0.001650376319885254
roberta_1layer_ft_part,0.64,0.6306163319025093,0.6565660493718047,0.64,475.4941520690918,124647939,0.0016261998812357585
roberta_2layer_ft_full,0.685,0.6831716200225827,0.6945951594107417,0.6849999999999999,476.2392692565918,124843267,0.0017180502414703368
roberta_2layer_feat_extr,0.5016666666666667,0.4723184486277608,0.5044775854731167,0.5016666666666667,476.2392692565918,124843267,0.0015905916690826416
roberta_2layer_ft_part,0.62,0.6018018606641664,0.642136652829192,0.62,476.2392692565918,124843267,0.0015986835956573486
distilbert_1layer_ft_full,0.6433333333333333,0.641416096933738,0.6524840078359283,0.6433333333333334,253.1630973815918,66365187,0.000978176991144816
distilbert_1layer_feat_extr,0.3333333333333333,0.19728058610015795,0.38109502583186794,0.3333333333333333,253.1630973815918,66365187,0.0008633951346079509
distilbert_1layer_ft_part,0.605,0.5944770488007163,0.6113031233998977,0.6049999999999999,253.1630973815918,66365187,0.0011252868175506592
distilbert_2layer_ft_full,0.6283333333333333,0.6158199863453285,0.6323921289438531,0.6283333333333333,253.9082145690918,66560515,0.0008884183565775553
distilbert_2layer_feat_extr,0.49666666666666665,0.4671440007922966,0.5143418360459959,0.49666666666666665,253.9082145690918,66560515,0.001176926294962565
distilbert_2layer_ft_part,0.585,0.5639573067614817,0.5997394098677727,0.585,253.9082145690918,66560515,0.0009905179341634116
